IDN: HEWLETT-PACKARD,34420A,0,9.0-5.0-2.0
 
Nr.     Date                   Data_on_Ch_1_[V]   Data_on_Ch_2_[V]   
204     2017-10-11 16:41:04    +4.43680000E+00    +4.36070000E+00    
205     2017-10-11 16:41:04    +4.43850000E+00    +4.35910000E+00    
206     2017-10-11 16:41:04    +4.37140000E+00    +4.35290000E+00    
207     2017-10-11 16:41:05    +4.39650000E+00    +4.39650000E+00    
208     2017-10-11 16:41:05    +4.46820000E+00    +4.41280000E+00    
209     2017-10-11 16:41:06    +4.39430000E+00    +4.34840000E+00    
210     2017-10-11 16:41:06    +4.51070000E+00    +4.45080000E+00    
211     2017-10-11 16:41:07    +4.49500000E+00    +4.41890000E+00    
212     2017-10-11 16:41:07    +4.52750000E+00    +4.46590000E+00    
213     2017-10-11 16:41:08    +4.52190000E+00    +4.45250000E+00    
214     2017-10-11 16:41:08    +4.53200000E+00    +4.45080000E+00    
215     2017-10-11 16:41:09    +4.45030000E+00    +4.38980000E+00    
216     2017-10-11 16:41:09    +4.50900000E+00    +4.43680000E+00    
217     2017-10-11 16:41:10    +4.46540000E+00    +4.45530000E+00    
218     2017-10-11 16:41:10    +4.43120000E+00    +4.42010000E+00    
219     2017-10-11 16:41:11    +4.45920000E+00    +4.42280000E+00    
220     2017-10-11 16:41:11    +4.46870000E+00    +4.42790000E+00    
221     2017-10-11 16:41:12    +4.47040000E+00    +4.44130000E+00    
222     2017-10-11 16:41:12    +4.59690000E+00    +4.54490000E+00    
223     2017-10-11 16:41:13    +4.55440000E+00    +4.49450000E+00    
224     2017-10-11 16:41:13    +4.53310000E+00    +4.47380000E+00    
225     2017-10-11 16:41:14    +4.52360000E+00    +4.51240000E+00    
226     2017-10-11 16:41:14    +4.49170000E+00    +4.48720000E+00    
227     2017-10-11 16:41:15    +4.62600000E+00    +4.57000000E+00    
228     2017-10-11 16:41:15    +4.56950000E+00    +4.50570000E+00    
229     2017-10-11 16:41:16    +4.56110000E+00    +4.55440000E+00    
230     2017-10-11 16:41:16    +4.63220000E+00    +4.58070000E+00    
231     2017-10-11 16:41:17    +4.63100000E+00    +4.55490000E+00    
232     2017-10-11 16:41:17    +4.60980000E+00    +4.53370000E+00    
233     2017-10-11 16:41:18    +4.62990000E+00    +4.53980000E+00    
234     2017-10-11 16:41:18    +4.62660000E+00    +4.59410000E+00    
235     2017-10-11 16:41:19    +4.60420000E+00    +4.54990000E+00    
236     2017-10-11 16:41:19    +4.66240000E+00    +4.61930000E+00    
237     2017-10-11 16:41:20    +4.64500000E+00    +4.57950000E+00    
238     2017-10-11 16:41:20    +4.68530000E+00    +4.61370000E+00    
239     2017-10-11 16:41:21    +4.57230000E+00    +4.52410000E+00    
240     2017-10-11 16:41:21    +4.59750000E+00    +4.53590000E+00    
241     2017-10-11 16:41:22    +4.62600000E+00    +4.60080000E+00    
242     2017-10-11 16:41:22    +4.57840000E+00    +4.59580000E+00    
243     2017-10-11 16:41:23    +4.64500000E+00    +4.59240000E+00    
244     2017-10-11 16:41:23    +4.66410000E+00    +4.59020000E+00    
245     2017-10-11 16:41:24    +4.71950000E+00    +4.63160000E+00    
246     2017-10-11 16:41:24    +4.73350000E+00    +4.64390000E+00    
247     2017-10-11 16:41:25    +4.64500000E+00    +4.60030000E+00    
248     2017-10-11 16:41:25    +4.69760000E+00    +4.67970000E+00    
249     2017-10-11 16:41:26    +4.65960000E+00    +4.66970000E+00    
250     2017-10-11 16:41:26    +4.74240000E+00    +4.68980000E+00    
251     2017-10-11 16:41:27    +4.76260000E+00    +4.72620000E+00    
252     2017-10-11 16:41:28    +4.74630000E+00    +4.74350000E+00    
253     2017-10-11 16:41:28    +4.52020000E+00    +4.53480000E+00    
254     2017-10-11 16:41:29    +4.44520000E+00    +4.42620000E+00    
255     2017-10-11 16:41:29    +4.36580000E+00    +4.33270000E+00    
256     2017-10-11 16:41:30    +4.09210000E+00    +4.10780000E+00    
257     2017-10-11 16:41:31    +3.96950000E+00    +4.00370000E+00    
258     2017-10-11 16:41:31    +3.76530000E+00    +3.81340000E+00    
259     2017-10-11 16:41:32    +3.67800000E+00    +3.67240000E+00    
260     2017-10-11 16:41:32    +3.57220000E+00    +3.56380000E+00    
261     2017-10-11 16:41:33    +3.28680000E+00    +3.30020000E+00    
262     2017-10-11 16:41:33    +3.22970000E+00    +3.19560000E+00    
263     2017-10-11 16:41:34    +2.99800000E+00    +2.99740000E+00    
264     2017-10-11 16:41:35    +2.93530000E+00    +2.94200000E+00    
265     2017-10-11 16:41:35    +2.77690000E+00    +2.78030000E+00    
266     2017-10-11 16:41:36    +2.60680000E+00    +2.58440000E+00    
267     2017-10-11 16:41:36    +2.41650000E+00    +2.44000000E+00    
268     2017-10-11 16:41:37    +2.24190000E+00    +2.29680000E+00    
269     2017-10-11 16:41:38    +2.15970000E+00    +2.16410000E+00    
270     2017-10-11 16:41:38    +1.95260000E+00    +1.99010000E+00    
271     2017-10-11 16:41:39    +1.80600000E+00    +1.84960000E+00    
272     2017-10-11 16:41:39    +1.71250000E+00    +1.76180000E+00    
273     2017-10-11 16:41:40    +1.52670000E+00    +1.57430000E+00    
274     2017-10-11 16:41:40    +1.43380000E+00    +1.49030000E+00    
275     2017-10-11 16:41:41    +1.37390000E+00    +1.36500000E+00    
276     2017-10-11 16:41:41    +1.16740000E+00    +1.16970000E+00    
277     2017-10-11 16:41:42    +1.04600000E+00    +1.07790000E+00    
278     2017-10-11 16:41:43    +1.00964000E+00    +1.02130000E+00    
279     2017-10-11 16:41:43    +9.06280000E-01    +8.35310000E-01    
280     2017-10-11 16:41:44    +6.70120000E-01    +6.79330000E-01    
281     2017-10-11 16:41:44    +5.53420000E-01    +5.64050000E-01    
282     2017-10-11 16:41:45    +4.92620000E-01    +4.73060000E-01    
283     2017-10-11 16:41:45    +4.48310000E-01    +4.05190000E-01    
284     2017-10-11 16:41:46    +3.01380000E-01    +3.13870000E-01    
285     2017-10-11 16:41:47    +2.03560000E-01    +1.87730000E-01    
286     2017-10-11 16:41:47    +4.94060000E-02    +4.76000000E-02    
287     2017-10-11 16:41:48    -2.67690000E-02    -4.04650000E-02    
288     2017-10-11 16:41:49    -1.68690000E-01    -1.96720000E-01    
289     2017-10-11 16:41:49    -3.42010000E-01    -2.93470000E-01    
290     2017-10-11 16:41:50    -4.06210000E-01    -4.25370000E-01    
291     2017-10-11 16:41:50    -4.44020000E-01    -4.46050000E-01    
292     2017-10-11 16:41:51    -6.10160000E-01    -6.26210000E-01    
293     2017-10-11 16:41:52    -7.40650000E-01    -7.01990000E-01    
294     2017-10-11 16:41:52    -7.55680000E-01    -7.78910000E-01    
295     2017-10-11 16:41:53    -8.52940000E-01    -8.94360000E-01    
296     2017-10-11 16:41:53    -9.77380000E-01    -1.00637000E+00    
297     2017-10-11 16:41:54    -4.83290000E-01    -2.26560000E-01    
298     2017-10-11 16:41:55    -5.27880000E-01    -5.32910000E-01    
299     2017-10-11 16:41:55    +6.40790000E-01    -1.66160000E+00    
300     2017-10-11 16:41:56    -2.55640000E+00    -4.87000000E-02    
301     2017-10-11 16:41:57    -4.16040000E-01    -1.18920000E+00    
302     2017-10-11 16:41:57    +6.00840000E-01    +2.22200000E-01    
303     2017-10-11 16:41:58    -1.34650000E+00    -3.51620000E+00    
304     2017-10-11 16:41:58    -2.56540000E+00    -3.19330000E+00    
305     2017-10-11 16:41:59    -8.31460000E-01    +1.24020000E+00    
306     2017-10-11 16:42:00    +1.19291000E+00    +4.50500000E-01    
307     2017-10-11 16:42:00    -8.63200000E-02    -4.62300000E-01    
308     2017-10-11 16:42:01    +6.42260000E-01    +2.17640000E+00    
309     2017-10-11 16:42:02    +4.82610000E-01    +1.71310000E+00    
310     2017-10-11 16:42:02    +6.59800000E-01    +9.52060000E-01    
311     2017-10-11 16:42:03    -1.96210000E-01    +1.84070000E+00    
312     2017-10-11 16:42:04    -7.46000000E-03    -1.13050000E+00    
313     2017-10-11 16:42:04    +8.46040000E-01    -1.30120000E+00    
314     2017-10-11 16:42:05    +2.11520000E-01    +5.80900000E-02    
315     2017-10-11 16:42:05    +7.84670000E-01    +6.20620000E-01    
316     2017-10-11 16:42:06    +9.98170000E-01    +1.15466000E+00    
317     2017-10-11 16:42:07    +1.30960000E+00    +1.26260000E+00    
318     2017-10-11 16:42:07    +1.50540000E+00    +1.43160000E+00    
319     2017-10-11 16:42:08    +1.55800000E+00    +1.47520000E+00    
320     2017-10-11 16:42:09    +1.71140000E+00    +1.60670000E+00    
321     2017-10-11 16:42:09    +1.90170000E+00    +1.80320000E+00    
322     2017-10-11 16:42:10    +1.92070000E+00    +1.85020000E+00    
323     2017-10-11 16:42:11    +2.04380000E+00    +1.94420000E+00    
324     2017-10-11 16:42:11    +2.16690000E+00    +2.06230000E+00    
325     2017-10-11 16:42:12    +2.21110000E+00    +2.14230000E+00    
326     2017-10-11 16:42:13    +2.33820000E+00    +2.25930000E+00    
327     2017-10-11 16:42:13    +2.45010000E+00    +2.35780000E+00    
328     2017-10-11 16:42:14    +2.53070000E+00    +2.43050000E+00    
329     2017-10-11 16:42:15    +2.59620000E+00    +2.49880000E+00    
330     2017-10-11 16:42:15    +2.63870000E+00    +2.55700000E+00    
331     2017-10-11 16:42:16    +2.60680000E+00    +2.54800000E+00    
332     2017-10-11 16:42:17    +2.68960000E+00    +2.62810000E+00    
333     2017-10-11 16:42:17    +2.83460000E+00    +2.73660000E+00    
334     2017-10-11 16:42:18    +2.86200000E+00    +2.79650000E+00    
335     2017-10-11 16:42:19    +2.84070000E+00    +2.77860000E+00    
336     2017-10-11 16:42:19    +2.94370000E+00    +2.85920000E+00    
337     2017-10-11 16:42:20    +2.99690000E+00    +2.93920000E+00    
338     2017-10-11 16:42:21    +2.95770000E+00    +2.91910000E+00    
339     2017-10-11 16:42:21    +3.00360000E+00    +2.95990000E+00    
340     2017-10-11 16:42:22    +3.10600000E+00    +3.04500000E+00    
341     2017-10-11 16:42:23    +3.20280000E+00    +3.11220000E+00    
342     2017-10-11 16:42:23    +3.26660000E+00    +3.17090000E+00    
343     2017-10-11 16:42:24    +3.26050000E+00    +3.19280000E+00    
344     2017-10-11 16:42:25    +3.27840000E+00    +3.19950000E+00    
345     2017-10-11 16:42:25    +3.37130000E+00    +3.28170000E+00    
346     2017-10-11 16:42:26    +3.38020000E+00    +3.30190000E+00    
347     2017-10-11 16:42:27    +3.43000000E+00    +3.36620000E+00    
348     2017-10-11 16:42:27    +3.51730000E+00    +3.45300000E+00    
349     2017-10-11 16:42:28    +3.50450000E+00    +3.46530000E+00    
350     2017-10-11 16:42:29    +3.66730000E+00    +3.58790000E+00    
351     2017-10-11 16:42:29    +3.65450000E+00    +3.58510000E+00    
352     2017-10-11 16:42:30    +3.70930000E+00    +3.63820000E+00    
353     2017-10-11 16:42:31    +3.78930000E+00    +3.69920000E+00    
354     2017-10-11 16:42:31    +3.70930000E+00    +3.67800000E+00    
355     2017-10-11 16:42:32    +3.74290000E+00    +3.71320000E+00    
356     2017-10-11 16:42:33    +3.87160000E+00    +3.79660000E+00    
357     2017-10-11 16:42:33    +3.86210000E+00    +3.79830000E+00    
358     2017-10-11 16:42:34    +3.88220000E+00    +3.83750000E+00    
359     2017-10-11 16:42:35    +3.85480000E+00    +3.80560000E+00    
360     2017-10-11 16:42:36    +3.87890000E+00    +3.84250000E+00    
361     2017-10-11 16:42:36    +3.84870000E+00    +3.81900000E+00    
362     2017-10-11 16:42:37    +3.98070000E+00    +3.92030000E+00    
363     2017-10-11 16:42:38    +3.88670000E+00    +3.84980000E+00    
364     2017-10-11 16:42:38    +3.99080000E+00    +3.93200000E+00    
365     2017-10-11 16:42:39    +3.93820000E+00    +3.88340000E+00    
366     2017-10-11 16:42:40    +3.95780000E+00    +3.92870000E+00    
367     2017-10-11 16:42:41    +3.99580000E+00    +3.96620000E+00    
368     2017-10-11 16:42:41    +3.97460000E+00    +3.92360000E+00    
369     2017-10-11 16:42:42    +3.98020000E+00    +3.94720000E+00    
370     2017-10-11 16:42:43    +4.07760000E+00    +4.03840000E+00    
371     2017-10-11 16:42:43    +4.01210000E+00    +3.98190000E+00    
372     2017-10-11 16:42:44    +4.00930000E+00    +3.99190000E+00    
373     2017-10-11 16:42:45    +4.07640000E+00    +4.03890000E+00    
374     2017-10-11 16:42:46    +4.08540000E+00    +4.05630000E+00    
375     2017-10-11 16:42:46    +4.14640000E+00    +4.07920000E+00    
376     2017-10-11 16:42:47    +4.09430000E+00    +4.04900000E+00    
377     2017-10-11 16:42:48    +4.07420000E+00    +4.02380000E+00    
378     2017-10-11 16:42:48    +4.09940000E+00    +4.06860000E+00    
379     2017-10-11 16:42:49    +4.14080000E+00    +4.11000000E+00    
380     2017-10-11 16:42:50    +4.13130000E+00    +4.09990000E+00    
